rq,metric,unit,row_type,participant_id,difficulty_block,treatment,manual_trial_id,ai_trial_id,n_expected,n_valid,n_missing,n_pairs,n_ties,n_nonzero,n_participants,median,q1,q3,iqr,minimum,maximum,manual_value,ai_value,difference,p_value,p_holm,rank_biserial,ci_low,ci_high,ci_method,note
RQ3,maintainability_index,points,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,maintainability_index,points,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,0,1,0,,,,,,,,,,,,,,,,,,,
RQ3,maintainability_index,points,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,0,1,0,,,,,,,,,,,81.3576,,,,,,,,
RQ3,maintainability_index,points,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,74.1473,75.3861,1.2389,,,,,,,
RQ3,maintainability_index,points,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,0,1,0,,,,,,,,,,,78.0130,,,,,,,,
RQ3,maintainability_index,points,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,57.3364,79.9483,22.6119,,,,,,,
RQ3,maintainability_index,points,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,69.8682,80.4799,10.6117,,,,,,,
RQ3,maintainability_index,points,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,56.2408,56.7413,0.5005,,,,,,,
RQ3,maintainability_index,points,comparison,,,,,,9,4,5,4,,,2,,,,,,,,,5.9253,,,,,,,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ3,maintainability_index,points,participant_level_comparison,,,,,,3,2,1,,,,2,,,,,,,,,5.9253,,,,,,,sensibilidade: uma mediana por participante
RQ3,maintainability_index,points,participant_comparison,P01,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,
