name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
NARKOZ/hacker-scripts,dias desde o último push,1032.0,acima,extremo,1.0,JavaScript,
vercel/next.js,releases,1000.0,acima,extremo,39.0,JavaScript,valor truncado pela API
RocketChat/Rocket.Chat,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
openai/codex,releases,1000.0,acima,extremo,39.0,Rust,valor truncado pela API
CopilotKit/CopilotKit,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
pnpm/pnpm,releases,1000.0,acima,extremo,39.0,Rust,valor truncado pela API
refinedev/refine,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
TanStack/query,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
withastro/astro,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
frappe/erpnext,releases,1000.0,acima,extremo,39.0,Python,valor truncado pela API
chakra-ui/chakra-ui,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
gradio-app/gradio,releases,1000.0,acima,extremo,39.0,Python,valor truncado pela API
TryGhost/Ghost,releases,1000.0,acima,extremo,39.0,JavaScript,valor truncado pela API
BerriAI/litellm,releases,1000.0,acima,extremo,39.0,Python,valor truncado pela API
storybookjs/storybook,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
k3s-io/k3s,releases,1000.0,acima,extremo,39.0,Go,valor truncado pela API
mattermost/mattermost,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
ggml-org/llama.cpp,releases,1000.0,acima,extremo,39.0,C++,valor truncado pela API
electron/electron,releases,1000.0,acima,extremo,39.0,C++,valor truncado pela API
zed-industries/zed,releases,1000.0,acima,extremo,39.0,Rust,valor truncado pela API
home-assistant/core,releases,1000.0,acima,extremo,39.0,Python,valor truncado pela API
langchain-ai/langchain,releases,1000.0,acima,extremo,39.0,Python,valor truncado pela API
lobehub/lobehub,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
ruvnet/ruflo,releases,1000.0,acima,extremo,39.0,TypeScript,valor truncado pela API
dylanaraps/pure-bash-bible,dias desde o último push,996.0,acima,extremo,1.0,Shell,
ueberdosis/tiptap,releases,985.0,acima,extremo,39.0,TypeScript,
laravel/framework,releases,966.0,acima,extremo,39.0,PHP,
Avik-Jain/100-Days-Of-ML-Code,dias desde o último push,965.0,acima,extremo,1.0,,
wg/wrk,dias desde o último push,964.0,acima,extremo,1.0,C,
chenfei-wu/TaskMatrix,dias desde o último push,957.0,acima,extremo,1.0,Python,
ionic-team/ionic-framework,releases,950.0,acima,extremo,39.0,TypeScript,
siyuan-note/siyuan,releases,945.0,acima,extremo,39.0,TypeScript,
stablyai/orca,releases,933.0,acima,extremo,39.0,TypeScript,
PostHog/posthog,releases,914.0,acima,extremo,39.0,Python,
lllyasviel/ControlNet,dias desde o último push,907.0,acima,extremo,1.0,Python,
shadowsocks/shadowsocks,dias desde o último push,871.0,acima,extremo,1.0,Python,
anomalyco/opencode,releases,861.0,acima,extremo,39.0,TypeScript,
xingshaocheng/architect-awesome,dias desde o último push,861.0,acima,extremo,1.0,,
