name_with_owner,url,primary_language,metrica,descricao,valor,lado,severidade,limite_inferior,limite_superior,mediana,observacao
storybookjs/storybook,https://github.com/storybookjs/storybook,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
BerriAI/litellm,https://github.com/BerriAI/litellm,Python,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
withastro/astro,https://github.com/withastro/astro,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
gradio-app/gradio,https://github.com/gradio-app/gradio,Python,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
frappe/erpnext,https://github.com/frappe/erpnext,Python,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
mattermost/mattermost,https://github.com/mattermost/mattermost,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
k3s-io/k3s,https://github.com/k3s-io/k3s,Go,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
refinedev/refine,https://github.com/refinedev/refine,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
pnpm/pnpm,https://github.com/pnpm/pnpm,Rust,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
TanStack/query,https://github.com/TanStack/query,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,TypeScript,releases_count,releases,1000.0,acima,extremo,-220.5,367.5,39.0,valor truncado pela API
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,TypeScript,releases_count,releases,985.0,acima,extremo,-220.5,367.5,39.0,
