name_with_owner,primary_language,language_group,is_popular_language,open_issues,closed_issues,total_issues,has_issues,closed_issues_percentage
awesomedata/awesome-public-datasets,,Sem linguagem identificada,False,82,49,131,True,37.404580152671755
opendatalab/MinerU,Python,Python,True,53,2286,2339,True,97.73407439076529
elastic/elasticsearch,Java,Java,True,4660,42360,47020,True,90.08932369204594
tensorflow/models,Python,Python,True,1075,6247,7322,True,85.318219065829
dair-ai/Prompt-Engineering-Guide,MDX,MDX,False,180,74,254,True,29.133858267716533
nomic-ai/gpt4all,C++,C++,True,730,1494,2224,True,67.17625899280576
FortAwesome/Font-Awesome,JavaScript,JavaScript,True,290,19644,19934,True,98.54519915721882
rtk-ai/rtk,Rust,Rust,False,982,449,1431,True,31.37665967854647
MisterBooo/LeetCodeAnimation,Java,Java,True,18,43,61,True,70.49180327868852
nestjs/nest,TypeScript,TypeScript,True,6,5854,5860,True,99.89761092150171
grafana/grafana,TypeScript,TypeScript,True,2731,42198,44929,True,93.92152062142492
sdmg15/Best-websites-a-programmer-should-visit,,Sem linguagem identificada,False,80,105,185,True,56.75675675675676
redis/redis,C,C,False,2258,4801,7059,True,68.01246635500779
tesseract-ocr/tesseract,C++,C++,True,436,2329,2765,True,84.23146473779384
AppFlowy-IO/AppFlowy,Dart,Dart,False,896,3319,4215,True,78.74258600237248
ocornut/imgui,C++,C++,True,1047,5872,6919,True,84.86775545599075
typicode/json-server,JavaScript,JavaScript,True,617,576,1193,True,48.28164291701593
D4Vinci/Scrapling,Python,Python,True,2,147,149,True,98.65771812080537
openai/openai-cookbook,Jupyter Notebook,Jupyter Notebook,False,78,740,818,True,90.4645476772616
obsproject/obs-studio,C,C,False,801,4390,5191,True,84.56944712001541
PKUFlyingPig/cs-self-learning,HTML,HTML,False,130,108,238,True,45.378151260504204
caddyserver/caddy,Go,Go,True,200,4402,4602,True,95.65406345067362
shareAI-lab/learn-claude-code,Python,Python,True,36,165,201,True,82.08955223880598
python/cpython,Python,Python,True,7043,70718,77761,True,90.94276050976711
enaqx/awesome-react,,Sem linguagem identificada,False,5,122,127,True,96.06299212598425
apache/superset,Python,Python,True,209,12456,12665,True,98.3497828661666
abi/screenshot-to-code,Python,Python,True,120,284,404,True,70.29702970297029
hiyouga/LlamaFactory,Python,Python,True,995,7034,8029,True,87.60742309129405
josephmisiti/awesome-machine-learning,Python,Python,True,1,117,118,True,99.15254237288136
unslothai/unsloth,Python,Python,True,922,3283,4205,True,78.07372175980976
Eugeny/tabby,TypeScript,TypeScript,True,2703,3624,6327,True,57.27833096254149
datawhalechina/hello-agents,Python,Python,True,62,247,309,True,79.93527508090615
unionlabs/union,Rust,Rust,False,128,1714,1842,True,93.05103148751357
twitter/the-algorithm,Scala,Scala,False,330,752,1082,True,69.50092421441775
thedaviddias/Front-End-Checklist,MDX,MDX,False,3,152,155,True,98.06451612903226
vuejs/awesome-vue,,Sem linguagem identificada,False,41,193,234,True,82.47863247863248
binhnguyennus/awesome-scalability,,Sem linguagem identificada,False,0,0,0,False,
Panniantong/Agent-Reach,Python,Python,True,65,139,204,True,68.13725490196079
CompVis/stable-diffusion,Jupyter Notebook,Jupyter Notebook,False,540,200,740,True,27.027027027027028
strapi/strapi,TypeScript,TypeScript,True,250,11952,12202,True,97.95115554827078
danielmiessler/SecLists,PHP,PHP,True,8,319,327,True,97.55351681957187
ComposioHQ/awesome-claude-skills,Python,Python,True,132,11,143,True,7.6923076923076925
microsoft/ai-agents-for-beginners,Jupyter Notebook,Jupyter Notebook,False,1,124,125,True,99.2
fffaraz/awesome-cpp,,Sem linguagem identificada,False,233,360,593,True,60.70826306913997
NationalSecurityAgency/ghidra,Java,Java,True,1545,4582,6127,True,74.78374408356456
juliangarnier/anime,JavaScript,JavaScript,True,97,752,849,True,88.57479387514722
hakimel/reveal.js,JavaScript,JavaScript,True,803,1710,2513,True,68.04615996816554
pallets/flask,Python,Python,True,0,2762,2762,True,100.0
chrislgarry/Apollo-11,Assembly,Assembly,False,0,0,0,False,
OpenBB-finance/OpenBB,Python,Python,True,51,2274,2325,True,97.80645161290322
moby/moby,Go,Go,True,3281,20310,23591,True,86.09215378746133
daytonaio/daytona,,Sem linguagem identificada,False,312,932,1244,True,74.91961414790997
protocolbuffers/protobuf,C++,C++,True,124,6775,6899,True,98.20263806348746
toeverything/AFFiNE,TypeScript,TypeScript,True,605,3399,4004,True,84.89010989010988
nektos/act,Go,Go,True,261,1082,1343,True,80.56589724497394
Asabeneh/30-Days-Of-Python,Python,Python,True,90,90,180,True,50.0
666ghj/MiroFish,Python,Python,True,61,338,399,True,84.71177944862156
binary-husky/gpt_academic,Python,Python,True,298,1486,1784,True,83.29596412556054
prakhar1989/awesome-courses,,Sem linguagem identificada,False,45,41,86,True,47.674418604651166
ansible/ansible,Python,Python,True,526,32913,33439,True,98.42698645294416
swiftlang/swift,Swift,Swift,False,7643,10504,18147,True,57.882845649418634
FoundationAgents/MetaGPT,Python,Python,True,17,957,974,True,98.25462012320328
expressjs/express,JavaScript,JavaScript,True,105,3962,4067,True,97.41824440619621
ruvnet/ruflo,TypeScript,TypeScript,True,573,1064,1637,True,64.99694563225412
base/node,Shell,Shell,True,9,370,379,True,97.62532981530343
code-yeongyu/oh-my-openagent,TypeScript,TypeScript,True,463,2091,2554,True,81.87157400156617
openinterpreter/openinterpreter,Rust,Rust,False,2,1099,1101,True,99.81834695731153
chartjs/Chart.js,JavaScript,JavaScript,True,499,6819,7318,True,93.18119704837387
BurntSushi/ripgrep,Rust,Rust,False,118,1702,1820,True,93.51648351648352
colbymchenry/codegraph,C,C,False,159,489,648,True,75.46296296296296
labmlai/annotated_deep_learning_paper_implementations,Python,Python,True,28,115,143,True,80.41958041958041
gorhill/uBlock,JavaScript,JavaScript,True,13,3433,3446,True,99.62275101567035
apache/echarts,TypeScript,TypeScript,True,1364,18020,19384,True,92.96326867519605
headroomlabs-ai/headroom,Python,Python,True,245,686,931,True,73.68421052631578
scikit-learn/scikit-learn,Python,Python,True,1541,10705,12246,True,87.41629919973869
bradtraversy/design-resources-for-developers,,Sem linguagem identificada,False,0,0,0,False,
santifer/career-ops,JavaScript,JavaScript,True,174,879,1053,True,83.47578347578347
sindresorhus/awesome-nodejs,,Sem linguagem identificada,False,3,102,105,True,97.14285714285714
xtekky/gpt4free,Python,Python,True,2,2046,2048,True,99.90234375
cline/cline,TypeScript,TypeScript,True,659,3734,4393,True,84.99886182563169
leonardomso/33-js-concepts,JavaScript,JavaScript,True,1,120,121,True,99.17355371900827
TheAlgorithms/Java,Java,Java,True,4,1245,1249,True,99.67974379503602
facebook/docusaurus,TypeScript,TypeScript,True,292,3177,3469,True,91.58258864226002
webpack/webpack,JavaScript,JavaScript,True,58,10170,10228,True,99.43292921392256
microsoft/AI-For-Beginners,Jupyter Notebook,Jupyter Notebook,False,12,185,197,True,93.90862944162437
prometheus/prometheus,Go,Go,True,508,6037,6545,True,92.23834988540871
LadybirdBrowser/ladybird,C++,C++,True,496,1459,1955,True,74.62915601023018
