id,name_with_owner,language_category,metrica,descricao,valor,limite_inferior,limite_superior
R_kgDOJQK9zA,xtekky/gpt4free,Popular,releases_count,Releases,504,-220.5,367.5
R_kgDOMSqWwQ,cline/cline,Popular,releases_count,Releases,375,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack/webpack,Popular,releases_count,Releases,462,-220.5,367.5
MDEwOlJlcG9zaXRvcnk2ODM4OTIx,prometheus/prometheus,Popular,releases_count,Releases,377,-220.5,367.5
MDEwOlJlcG9zaXRvcnk0MjQwODgwNA==,traefik/traefik,Popular,releases_count,Releases,553,-220.5,367.5
R_kgDOJxtHSw,mem0ai/mem0,Popular,releases_count,Releases,381,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNDgwNjAyMjc=,withastro/astro,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyOTI2MTQ3Mw==,minio/minio,Popular,releases_count,Releases,521,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzMzI4ODA2ODk=,coollabsio/coolify,Popular,releases_count,Releases,692,-220.5,367.5
R_kgDOH-jzvQ,ultralytics/ultralytics,Popular,releases_count,Releases,452,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom/atom,Popular,releases_count,Releases,538,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyNzQ0OTU0MjU=,remotion-dev/remotion,Popular,releases_count,Releases,673,-220.5,367.5
R_kgDOKALCgQ,BerriAI/litellm,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnk3OTE2MjY4Mg==,laurent22/joplin,Popular,releases_count,Releases,418,-220.5,367.5
MDEwOlJlcG9zaXRvcnk5ODUyOTE4,TryGhost/Ghost,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxMjI1NjM3Ng==,ionic-team/ionic-framework,Popular,releases_count,Releases,950,-220.5,367.5
R_kgDOIWuq5w,run-llama/llama_index,Popular,releases_count,Releases,433,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzMTYyOTc1MQ==,cypress-io/cypress,Popular,releases_count,Releases,402,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyMDc2NDUwODM=,TanStack/query,Popular,releases_count,Releases,1000,-220.5,367.5
R_kgDORpCz1g,stablyai/orca,Popular,releases_count,Releases,933,-220.5,367.5
MDEwOlJlcG9zaXRvcnkxNzcyODE2NA==,hashicorp/terraform,Popular,releases_count,Releases,437,-220.5,367.5
MDEwOlJlcG9zaXRvcnk2MDI0NjM1OQ==,ClickHouse/ClickHouse,Popular,releases_count,Releases,830,-220.5,367.5
R_kgDOHy0BzQ,astral-sh/ruff,Não popular,releases_count,Releases,424,-220.5,367.5
MDEwOlJlcG9zaXRvcnk1MzIzODgxMw==,Homebrew/brew,Não popular,releases_count,Releases,509,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzMDIwMzkzNQ==,metabase/metabase,Não popular,releases_count,Releases,822,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNjEwNDQwMzQ=,slidevjs/slidev,Popular,releases_count,Releases,430,-220.5,367.5
R_kgDOPFM7Ew,router-for-me/CLIProxyAPI,Popular,releases_count,Releases,818,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNTAzNjAxODQ=,calcom/cal.diy,Popular,releases_count,Releases,611,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNDMwMjY5OA==,serverless/serverless,Popular,releases_count,Releases,494,-220.5,367.5
MDEwOlJlcG9zaXRvcnkzNTg2NjY5NA==,RocketChat/Rocket.Chat,Popular,releases_count,Releases,1000,-220.5,367.5
MDEwOlJlcG9zaXRvcnkyOTE0Mzg1MjI=,siyuan-note/siyuan,Popular,releases_count,Releases,945,-220.5,367.5
R_kgDOKr-Pwg,QuantumNous/new-api,Popular,releases_count,Releases,512,-220.5,367.5
